Country,Country Code,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy at 60,Premature deaths from non-communicable diseases,Suicide rate,Outdoor air pollution attributable deaths,Wastewater treatment,Biodiversity and habitat,Greenhouse gas emissions,Political rights,Freedom of expression,Freedom of assembly,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Globally ranked universities,Percentage of tertiary students enrolled in globally ranked universities,Depth of food deficit - capped,Adult literacy rate - capped,Secondary school enrollment - capped,Gender parity in secondary enrollment - difference from parity,Mobile telephone subscriptions - capped,Greenhouse gas emissions - capped,Globally ranked universities - bucketed,Percentage of tertiary students enrolled in globally ranked universities - bucketed
Afghanistan,AFG,35.66,42.65,38.00,26.34,72.74,29.33,22.92,45.63,53.37,47.61,29.37,21.64,37.40,38.97,22.25,6.73,26.80,173.00,396.14,91.10,183.61,12.17,46.98,31.85,0.41,43.00,,251.92,6.60,5.00,5.00,4.50,15.50,38.17,85.13,55.64,0.56,61.58,8.26,37.75,15.98,1442.50,10.21,232.48,0.00,21.25,544.79,10.00,6.00,0.60,,0.45,2.00,0.17,44.90,15.00,0.41,0.08,8.60,1.00,0.55,0.28,0.98,0.45,0.00,0.00,173.00,38.17,55.64,0.44,61.58,544.79,0.00,0.00
Albania,ALB,70.97,85.53,78.35,49.04,98.17,90.69,80.45,72.82,95.99,78.81,74.99,63.62,60.53,54.87,48.60,32.16,5.00,8.00,28.60,14.00,17.16,81.97,95.23,93.23,0.69,100.00,4.45,21.76,4.00,3.00,3.00,2.00,15.10,97.55,98.96,95.77,0.94,106.38,63.25,29.92,21.58,340.60,5.26,42.89,5.14,54.12,257.69,28.00,13.00,0.56,35.00,0.72,4.00,0.07,26.90,39.00,0.53,0.11,4.70,4.00,0.62,0.07,12.26,0.12,0.00,0.00,8.00,97.55,95.77,0.06,100.00,257.69,0.00,0.00
Algeria,DZA,65.41,78.15,77.09,40.98,95.01,81.23,70.58,65.77,93.31,67.65,77.81,69.59,36.21,60.11,38.58,29.00,5.00,20.00,139.62,25.50,45.23,77.01,81.80,87.60,0.17,100.00,4.04,0.37,1.50,2.00,4.00,3.00,23.80,79.61,98.82,99.86,1.04,106.38,38.20,41.69,21.83,307.40,2.75,46.33,45.09,61.62,380.96,11.00,7.00,,25.00,0.56,2.00,0.02,74.90,34.00,0.49,0.21,7.90,2.00,0.74,0.46,7.74,,1.00,0.03,20.00,79.61,99.86,0.04,100.00,380.96,1.00,1.00
Angola,AGO,40.73,44.37,48.76,29.05,69.33,27.63,28.49,52.04,60.59,47.64,46.10,40.70,28.28,27.26,46.70,13.96,14.20,90.00,476.98,156.90,423.44,14.84,28.17,51.59,0.19,37.00,1.71,173.25,9.80,3.00,5.00,3.50,26.90,71.16,87.86,28.90,0.65,60.84,12.40,39.89,15.75,741.10,16.99,109.31,0.00,53.54,995.89,10.00,5.00,,15.00,0.34,3.00,0.36,31.60,18.00,0.56,0.13,7.70,4.00,0.75,,5.31,0.35,0.00,0.00,90.00,71.16,28.90,0.35,60.84,995.89,0.00,0.00
Argentina,ARG,75.90,81.71,79.41,66.58,97.34,98.32,67.25,63.92,97.23,82.29,70.57,67.54,67.51,67.52,72.42,58.88,5.00,2.00,52.39,12.50,72.74,98.24,99.95,96.36,0.30,99.80,2.70,1.62,7.60,3.00,4.00,3.00,13.60,98.09,99.80,106.78,1.07,146.70,69.40,25.09,21.47,365.90,11.48,34.29,7.67,69.72,,33.00,14.00,0.78,15.00,0.82,3.00,0.13,83.80,36.00,0.74,0.61,4.70,4.00,0.87,0.30,13.00,0.08,20.00,0.23,8.00,98.09,100.00,0.07,100.00,,6.00,4.00
Armenia,ARM,69.01,85.83,76.49,44.70,96.85,96.42,77.71,72.32,95.69,77.91,66.12,66.26,43.06,49.32,39.84,46.58,5.80,41.00,25.33,14.10,19.51,99.33,100.00,89.50,0.38,100.00,4.78,4.50,2.00,2.00,3.00,3.00,18.30,99.77,96.42,88.50,1.01,115.89,58.25,28.79,19.61,481.90,7.28,62.05,11.49,87.43,393.71,16.00,9.00,,20.00,0.55,2.00,0.08,42.70,33.00,0.53,0.02,5.60,2.00,0.69,0.88,13.10,0.04,0.00,0.00,41.00,99.00,88.50,0.01,100.00,393.71,0.00,0.00
Australia,AUS,89.30,94.44,88.82,84.65,99.43,100.00,87.10,91.23,97.99,89.09,83.40,84.82,93.41,87.19,77.19,80.80,5.00,8.00,5.95,3.80,12.81,,100.00,100.00,0.49,100.00,6.36,0.00,1.00,1.00,2.00,1.50,5.40,,99.92,137.56,0.95,132.80,84.56,17.84,25.47,199.00,10.24,8.92,95.00,87.18,670.74,40.00,16.00,0.87,90.00,0.92,4.00,0.01,82.30,79.00,0.84,0.73,4.10,3.00,0.94,1.05,14.54,0.02,61.00,0.57,8.00,,100.00,0.05,100.00,670.74,9.00,5.00
Austria,AUT,87.98,95.72,89.56,78.64,99.53,100.00,90.15,93.22,98.00,90.70,78.77,90.78,93.93,84.41,73.76,62.47,5.00,8.00,3.80,3.50,8.89,100.00,100.00,100.00,0.58,100.00,6.61,0.00,0.50,1.00,2.00,1.00,5.40,,,100.02,0.95,157.41,83.93,13.18,24.15,232.60,12.52,22.91,94.31,93.33,211.83,37.00,16.00,0.93,90.00,0.88,3.00,0.00,83.10,75.00,0.74,0.68,4.00,3.00,0.93,0.56,13.29,0.03,13.00,0.29,8.00,,100.00,0.05,100.00,211.83,5.00,4.00
Azerbaijan,AZE,65.33,82.66,73.83,39.50,96.18,76.97,82.40,75.10,98.42,71.83,65.66,59.42,18.40,48.17,39.90,51.53,5.00,12.00,25.07,31.70,41.82,66.19,77.75,89.35,0.61,100.00,5.11,17.06,2.50,2.00,3.00,3.00,10.00,99.81,98.84,,,111.28,77.00,57.89,18.72,503.20,4.11,81.23,9.73,75.83,469.46,4.00,2.00,,20.00,0.65,1.00,0.08,34.10,30.00,0.53,0.03,6.70,2.00,0.76,,13.16,0.08,3.00,0.12,12.00,99.00,,,100.00,469.46,2.00,3.00
Bangladesh,BGD,54.84,67.40,60.41,36.72,86.34,57.26,55.94,70.05,77.14,53.30,62.69,48.52,37.53,49.98,41.59,17.78,16.40,116.00,176.14,37.60,95.13,11.78,87.03,60.56,0.78,59.60,3.21,133.32,2.80,2.00,3.00,4.00,13.60,61.49,96.26,63.52,1.13,81.90,14.40,45.94,18.97,515.10,9.62,133.18,0.00,63.77,376.07,20.00,7.00,0.37,20.00,0.82,3.00,0.46,74.10,26.00,0.72,0.36,8.90,2.00,0.65,0.16,5.09,0.39,1.00,0.01,116.00,61.49,63.52,0.13,81.90,376.07,1.00,1.00
